Outlier Number,name,gal_l,gal_b,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,hard_hm,hard_hs,nh_gal,acis_num,acis_time,likelihood,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,SIMBAD Best Match,SIMBAD Object Type
93, 2CXO J174546.1-290057,359.94895,-0.06938,0.71,0.71,0.0,23.65,0.9756,0.9831,109.5,62,1759636.8,791.4595,5.544e-15,-2.535,0.0005610000000000001,4.027e-09,1.12,1.36e-13,106.2,886.5,7.132999999999999e-10,1.165,9.018000000000001e-15,100.0,2724.0,1.507e-05,1.251,CXOU J174546.1-290057,X
94, 2CXO J174546.6-290328,359.91417,-0.09287999999999999,0.73,0.72,90.9,13.35,0.9394,0.8645,110.5,61,1709082.0,338.7083,5.908e-15,-0.67,141.6,7.471e-08,0.563,5.381000000000001e-15,12.7,96.06,4.168e-09,0.564,6.795e-15,100.0,850.6,5.44e-06,0.606,CXOU J174546.6-290328,X
95, 2CXO J174546.9-285903,359.97745,-0.055220000000000005,0.72,0.71,66.4,14.17,0.9794,0.9869,108.7,63,1808196.0,604.1948,1.5240000000000001e-15,-1.421,1474.0,3.936e-08,0.903,7.405e-15,91.51,1871.0,1.0340000000000002e-09,0.904,8.434000000000003e-15,100.0,4010.0,2.053e-05,0.9129999999999999,CXOU J174546.9-285903,X
96, 2CXO J174550.2-285416,0.051620000000000006,-0.0241,0.73,0.72,138.2,11.55,0.9432,0.9781,110.3,64,1910278.2,402.3389,7.154e-15,-0.617,145.7,1.414e-07,1.062,8.539e-15,6.894,123.9,1.625e-08,1.061,1.17e-14,100.0,984.7,1.014e-05,1.094,CXOU J174550.1-285415,X
97, 2CXO J174550.4-290015,359.96702,-0.07658999999999999,0.73,0.72,58.6,8.03,0.9457,0.9432,108.7,61,1769025.6,120.1159,1.2080000000000001e-15,-0.405,250.8,4.1879999999999995e-08,1.16,1.471e-15,5.82,184.3,4.293e-09,1.16,2.432e-15,13.58,1499.0,2.395e-06,1.165,No object found.,
98, 2CXO J174553.8-285739,0.01045,-0.06462000000000001,0.76,0.74,62.1,8.47,0.8532,0.7583,108.1,64,1909797.6,85.14200000000002,2.445e-15,0.053,0.0002653,7.752000000000001e-08,1.025,2.016e-15,2.044,0.0001113,3.155e-08,1.034,2.439e-15,13.58,196.6,1.018e-06,1.0590000000000002,CXOGC J174553.8-285739',X
99, 2CXO J174556.2-285635,0.03022,-0.06304,0.75,0.75,0.0,8.84,0.8270000000000001,0.6846,108.8,59,1884083.5,148.1669,2.979e-15,-1.1640000000000001,0.00015219999999999999,1.621e-08,0.7340000000000001,1.3550000000000001e-15,71.02,3.313,2.9760000000000004e-10,0.735,3.4079999999999998e-15,100.0,700.3,2.5109999999999998e-06,0.779,CXOGCS J174556.23-285636.9,X
100, 2CXO J174558.8-285711,0.02655,-0.0762,0.74,0.74,0.0,7.79,0.9756,0.9182,108.5,59,1884579.5,62.184580000000004,2.375e-15,-0.369,458.7,9.283999999999999e-08,1.358,2.977e-15,4.796,409.2,1.226e-08,1.358,4.386e-15,13.58,1753.0,4.734e-06,1.3630000000000002,No object found.,
101, 2CXO J174603.0-285640,0.04172,-0.08481,0.83,0.82,61.1,8.37,0.5284,0.1774,108.9,58,1845888.5,124.6088,1.452e-15,2.977,7.873e-05,4.918e-07,1.209,8.166999999999998e-16,0.1735,18.23,0.00035069999999999996,1.2209999999999999,9.113e-16,0.5979,2.29e-06,1.8609999999999998e-06,1.22,HD 316316,*
102, 2CXO J174604.9-285709,0.0386,-0.0949,0.76,0.75,88.8,7.83,0.4834,0.4097,108.6,58,1846381.4,78.36191,3.401e-15,0.596,2.592e-06,1.9879999999999998e-07,1.003,2.694e-15,1.341,6.34e-06,1.254e-07,1.1320000000000001,2.6059999999999997e-15,100.0,14.2,8.287e-07,1.064,CXOU J174604.9-285709,X
103, 2CXO J174606.3-285810,0.02685,-0.1083,0.72,0.71,136.3,23.33,0.9831,0.9681,108.0,57,1832224.6,1124.221,2.4280000000000002e-14,-2.0909999999999997,374.0,3.2230000000000005e-08,1.141,2.0580000000000002e-14,145.1,1098.0,1.821e-09,1.16,2.867e-14,100.0,2907.0,5.083e-05,1.258,CXOU J174606.3-285810,X
104, 2CXO J174606.3-290532,359.922,-0.17198,0.91,0.81,89.7,10.01,0.9269,0.8082,108.8,56,1721887.2,179.4134,4.638e-15,-0.575,24.64,8.676e-08,0.695,5.061e-15,4.169,28.9,2.063e-08,0.687,6.812999999999999e-15,8.833,1022.0,6.208e-06,0.706,CXOU J174606.2-290533,X
105, 2CXO J174611.2-285347,0.09844,-0.08525,0.71,0.71,69.0,38.13,0.9831,0.9894,111.0,51,1671649.6,2319.133,9.206e-14,-0.7559999999999999,828.0,1.328e-06,1.102,9.132000000000001e-14,45.26,721.2,1.997e-08,1.103,1.023e-13,100.0,2112.0,0.0001412,1.1420000000000001,CXOGCS J174611.20-285347.1,X
